step_cluster_id,nonstep_cluster_id,cosine_similarity,selected_in_assignment,passes_threshold,match_id
0,0,0.557455083636898,False,False,
0,1,0.7104960380203795,False,False,
0,2,0.4092799587330352,False,False,
0,3,0.41667695403058197,False,False,
0,4,0.3791712609876411,False,False,
0,5,0.9694281037825049,True,True,same_synergy_01
0,6,0.8032235883015192,False,False,
0,7,0.4282674827988211,False,False,
0,8,0.3670286498821289,False,False,
0,9,0.45267793661302996,False,False,
0,10,0.6551117751507812,False,False,
0,11,0.4864740378917989,False,False,
0,12,0.6558276627303304,False,False,
0,13,0.36762326294113196,False,False,
1,0,0.6521399367792268,False,False,
1,1,0.4541946186355626,False,False,
1,2,0.38452143394626526,False,False,
1,3,0.3820741900510494,False,False,
1,4,0.425560400530023,False,False,
1,5,0.5158921855491562,False,False,
1,6,0.6143336450402765,False,False,
1,7,0.5132479201598825,False,False,
1,8,0.3793871196723521,False,False,
1,9,0.4321425836658417,False,False,
1,10,0.9594278497927402,True,True,same_synergy_02
1,11,0.484482250858573,False,False,
1,12,0.5464165018026327,False,False,
1,13,0.37610869092329413,False,False,
2,0,0.6140912080738784,False,False,
2,1,0.7439457384644133,False,False,
2,2,0.7230848022382348,False,False,
2,3,0.4700320701817064,False,False,
2,4,0.7584017090425935,False,False,
2,5,0.4712662690370984,False,False,
2,6,0.5707257835227586,False,False,
2,7,0.9588256882067588,True,True,same_synergy_03
2,8,0.7575846409754445,False,False,
2,9,0.8842942672980364,False,False,
2,10,0.6470509580564314,False,False,
2,11,0.516726013506987,False,False,
2,12,0.6077372527815488,False,False,
2,13,0.42826076140564273,False,False,
3,0,0.48150339045491847,False,False,
3,1,0.5578994894833886,False,False,
3,2,0.5111218659769741,False,False,
3,3,0.501763819628862,False,False,
3,4,0.5188961355401706,False,False,
3,5,0.5222686222837499,False,False,
3,6,0.4487729682664011,False,False,
3,7,0.500820408121769,False,False,
3,8,0.5113899591399844,False,False,
3,9,0.5904802150602693,False,False,
3,10,0.5594522048886607,False,False,
3,11,0.6659729847307689,False,False,
3,12,0.8760874058055361,True,True,same_synergy_04
3,13,0.4625565013673534,False,False,
4,0,0.6969679394272384,False,False,
4,1,0.5880651029238032,False,False,
4,2,0.5233535254828198,False,False,
4,3,0.4786357420501256,False,False,
4,4,0.5950450185286507,False,False,
4,5,0.44810951848330105,False,False,
4,6,0.38284809658707863,False,False,
4,7,0.5027282632451469,False,False,
4,8,0.5738988019166121,False,False,
4,9,0.5557632270747239,False,False,
4,10,0.4830381011506204,False,False,
4,11,0.7890342930517271,False,False,
4,12,0.49686810374720664,False,False,
4,13,0.9729355622535018,True,True,same_synergy_05
5,0,0.5107613046767682,False,False,
5,1,0.8470426042334464,False,False,
5,2,0.9840577487418644,True,True,same_synergy_06
5,3,0.5143575960120229,False,False,
5,4,0.8874304405547289,False,False,
5,5,0.4258006343224284,False,False,
5,6,0.41366493099863166,False,False,
5,7,0.651789489195219,False,False,
5,8,0.9183736229570427,False,False,
5,9,0.5654049448726816,False,False,
5,10,0.5388889702827508,False,False,
5,11,0.4927376305688359,False,False,
5,12,0.5452924560469741,False,False,
5,13,0.391889947870381,False,False,
6,0,0.6231311424804601,False,False,
6,1,0.8613997026346253,False,False,
6,2,0.7924631176335613,False,False,
6,3,0.8346134365140536,False,False,
6,4,0.9393376503689855,True,True,same_synergy_07
6,5,0.5551861252052914,False,False,
6,6,0.5107749051979239,False,False,
6,7,0.618955384031895,False,False,
6,8,0.865790439874409,False,False,
6,9,0.5937138681025924,False,False,
6,10,0.6054600830502127,False,False,
6,11,0.6389772248981994,False,False,
6,12,0.6449903728865322,False,False,
6,13,0.4996745541190446,False,False,
7,0,0.4922047636683294,False,False,
7,1,0.4548669353704902,False,False,
7,2,0.40592662253215467,False,False,
7,3,0.38210931409502136,False,False,
7,4,0.4464449494942376,False,False,
7,5,0.4197286331897383,False,False,
7,6,0.5181512981362185,False,False,
7,7,0.885448848485057,False,False,
7,8,0.4162048165228048,False,False,
7,9,0.8765462176571455,True,True,same_synergy_08
7,10,0.6546631246534266,False,False,
7,11,0.5626789489734779,False,False,
7,12,0.6754397982338096,False,False,
7,13,0.42899926825106827,False,False,
8,0,0.6619573722924406,True,False,
8,1,0.6374622494483677,False,False,
8,2,0.4278989782748557,False,False,
8,3,0.47199455839882165,False,False,
8,4,0.43125876408048447,False,False,
8,5,0.8116003704031559,False,False,
8,6,0.6027855919227817,False,False,
8,7,0.7372253407755617,False,False,
8,8,0.4082415368341834,False,False,
8,9,0.8138240541994518,False,False,
8,10,0.6089662727414726,False,False,
8,11,0.6184080675193976,False,False,
8,12,0.7967050090729029,False,False,
8,13,0.46873359191939745,False,False,
9,0,0.522257650706722,False,False,
9,1,0.8991339856157643,False,False,
9,2,0.8496369317743147,False,False,
9,3,0.40432304342596265,False,False,
9,4,0.7970360615360348,False,False,
9,5,0.435029729087004,False,False,
9,6,0.3598175159815548,False,False,
9,7,0.5829261236782727,False,False,
9,8,0.9732868617063107,True,True,same_synergy_09
9,9,0.5442011531249413,False,False,
9,10,0.4204794559207818,False,False,
9,11,0.5240543162150795,False,False,
9,12,0.4772482147452757,False,False,
9,13,0.4477065349157994,False,False,
10,0,0.5797733713710396,False,False,
10,1,0.46164888120520337,False,False,
10,2,0.36406895344556045,False,False,
10,3,0.5649631282852873,True,False,
10,4,0.43882450827711206,False,False,
10,5,0.496227656468641,False,False,
10,6,0.4242892254537358,False,False,
10,7,0.3866725463337476,False,False,
10,8,0.3882901874251652,False,False,
10,9,0.41911030485768913,False,False,
10,10,0.5260230777825095,False,False,
10,11,0.8573191683166865,False,False,
10,12,0.5900348504139862,False,False,
10,13,0.5959557526864352,False,False,
11,0,0.483609422647781,False,False,
11,1,0.3726657522912625,False,False,
11,2,0.33615559777468085,False,False,
11,3,0.44188931482300475,False,False,
11,4,0.3739969661788294,False,False,
11,5,0.31765923215163844,False,False,
11,6,0.2461839440646599,False,False,
11,7,0.31214468102273696,False,False,
11,8,0.3456899418164746,False,False,
11,9,0.3691878883697821,False,False,
11,10,0.3156522906429642,False,False,
11,11,0.8677902770558417,True,True,same_synergy_10
11,12,0.46334878214786324,False,False,
11,13,0.8171144932287969,False,False,
12,0,0.4184277074780148,False,False,
12,1,0.712920632224137,False,False,
12,2,0.38733646396751215,False,False,
12,3,0.4782276239809976,False,False,
12,4,0.4154794859083444,False,False,
12,5,0.8361765212076155,False,False,
12,6,0.8458511351392206,True,True,same_synergy_11
12,7,0.4298854429559375,False,False,
12,8,0.39374470173455617,False,False,
12,9,0.49995551812572203,False,False,
12,10,0.6098929238848007,False,False,
12,11,0.516023284884431,False,False,
12,12,0.8300786872639503,False,False,
12,13,0.37747001796361235,False,False,
